Video Views,Likes,Comments,Shares,Unique Viewers,Profile Views
2.0292357186934105,2.3202319531008895,3.0878197253366757,2.93769785735015,1.9970286892004228,9329
0.7066195660641581,1.0160899557660168,2.6201112960888864,2.609369337553987,0.8370731871845286,5472
0.3593951094386842,0.31913543225370206,1.3129261989604484,1.4698762394378915,0.4746936541257905,4077
0.13895355776453483,0.08204018083628259,0.527415888300699,1.1103490820140387,0.2711437703585783,3386
-0.11535276775416675,-0.21710457510353032,0.11367381627380813,0.4016943130422297,0.028432601039782228,2266
-0.19000116284101584,-0.2662402233547657,0.0027429708752939146,0.281356710763998,-0.04099209974078076,2076
0.5581517112815635,0.47937749025252263,1.1090532939037194,1.2871413619042804,0.7329982967844009,4518
0.5572564610591717,0.3696884549737231,0.527415888300699,0.795391406915457,0.5988198331371373,4788
1.2538606063269888,0.40142189446931265,0.30855232846038716,0.32592619308926896,0.47844106058900326,14960
2.3894247248357443,1.9304539741848397,1.3878794728783632,1.151947265517625,1.502069112312853,17480
3.3673474369003586,3.6786278953798344,2.8119916773187486,2.723764342188849,3.5160603233169625,12169
2.6314738590379942,2.8898590035006277,2.0834458548366146,2.006195676751986,2.73855340319123,9930
1.2646920287707424,1.395395112218262,0.9711392698947559,0.698824195210703,1.3490825754687064,6028
0.5720557209083412,0.703795114476915,0.39249999524845197,0.2501580731363083,0.5752697811455726,4472
0.32988500951539623,0.37079085733833417,0.11967007818724133,0.033253259153322716,0.3325053311661621,3660
-0.20145152371012684,-0.18206392851410763,-0.1921355413112851,-0.3025035076970522,-0.2664225748003065,2778
-0.4080995904763124,-0.43868745039035145,-0.4409804107187629,-0.4406689029053923,-0.503414953213157,2174
-0.16292260673163173,-0.13481811288791976,-0.2520981604456171,-0.3158743523946335,-0.22319419882182343,2594
0.16766787971236335,0.16046823477575448,-0.1081878745232203,-0.21039324422482544,0.17939447278058177,3259
-0.20067785067843014,-0.11647098781975013,-0.3360458272336819,-0.30844610534042166,-0.24567863760110015,2444
-0.4879205424036479,-0.4427820877446211,-0.5459149942038439,-0.5743773498812054,-0.5141598864370609,1674
-0.5375571936229312,-0.5375099480751278,-0.5669019109008602,-0.6055759875088951,-0.576480499135704,1572
-0.5223600447860319,-0.5077450842306294,-0.47695798219936214,-0.5402074134318309,-0.5468031711734832,1535
-0.4811895870278867,-0.45223125086985866,-0.3660271368008479,-0.48969533346319044,-0.5091337441191025,1714
-0.537435616432236,-0.5065639388399746,-0.41099910115159694,-0.5580352063619393,-0.5556122403950641,1512
-0.6260432835052696,-0.581999757789788,-0.5279262084635443,-0.5981477404546832,-0.6196911148939822,1297
-0.664726935090104,-0.6488525869008438,-0.6538477086456416,-0.6575737168883778,-0.6945149226168044,1419
-0.6706842174341685,-0.657514319765645,-0.5998813514247427,-0.6575737168883778,-0.7215637379887148,1456
-0.6380683729122124,-0.6327102665618963,-0.5968832204680261,-0.5639778040053087,-0.6897729438221228,1586
-0.6678326796887721,-0.7038152190793091,-0.7168084587366902,-0.7303705380196538,-0.6892756576563884,1405
-0.5854365018130748,-0.5657786944247968,-0.7198065896934068,-0.6382602745474271,-0.5641904267539823,1374
1.2249694448290582,0.7323000899047151,-0.21312245800830132,-0.1910798018838747,1.8827771926229446,3023
0.018934765604615645,-0.2860834659177646,-0.590886958554593,-0.4510684487812889,0.3091861620372598,1524
-0.762883937868651,-0.7327139096373273,-0.7977579945680384,-0.7273992391979691,-0.7507260195649962,819
-0.7806452601820307,-0.7358636306790732,-0.7557841611740059,-0.7363131356630233,-0.7804921486282409,784
-0.7944940074494015,-0.73255642358524,-0.7557841611740059,-0.7199709921437573,-0.7913614033935785,752
-0.21398502682361317,-0.18615856586837726,-0.11718226739337011,-0.18810850306218996,-0.25088238212110653,2769
-0.41478633596454806,-0.3549048706799116,-0.46796358932921234,-0.4852383852306633,-0.434878263442834,2016
-0.6007883852563134,-0.5264859244290172,-0.5639037799441435,-0.5966620910438408,-0.6086975385872111,1383
-0.744271575220405,-0.6662547956564897,-0.72580285160684,-0.6650019639425897,-0.7401231681027307,954
-0.7624749964090399,-0.6986969223864721,-0.7288009825635566,-0.7244279403762843,-0.759091083281457,843
-0.7942066431804856,-0.7143667845691577,-0.7138103277799736,-0.694714952159437,-0.7915567658158313,796
-0.7936208621707723,-0.7299579037257997,-0.635858922905342,-0.7467126815389199,-0.7967960307762473,831
-0.8244130488323006,-0.7573604767889887,-0.7018178039531072,-0.7600835262365012,-0.8238270859279528,712
-0.7430779082572159,-0.6616089571199145,-0.6148720062083257,-0.7140283945003878,-0.7137492410986027,806
-0.7943392728430622,-0.7104296332669754,-0.6748346253426578,-0.7244279403762843,-0.7680777547050858,678
-0.8481758633772704,-0.7633449467683058,-0.8067523874381882,-0.7660261238798707,-0.8323697518464616,579
